Entity,Code,Year,Official development assistance (ODA) and private grants by donor - Net disbursements,1132327-annotations
Adaptation Fund,,2011,48525076,
Adaptation Fund,,2012,25154208,
Adaptation Fund,,2013,7088941,
Adaptation Fund,,2014,42076940,
Adaptation Fund,,2015,50092600,
Adaptation Fund,,2016,45970164,
Adaptation Fund,,2017,35162336,
Adaptation Fund,,2018,53916760,
Adaptation Fund,,2019,71025580,
Adaptation Fund,,2020,82759820,
Adaptation Fund,,2021,64599692,
Adaptation Fund,,2022,70945280,
Adaptation Fund,,2023,112609000,
Adaptation Fund,,2024,66514840,
African Development Bank,,2001,111965140,
African Development Bank,,2002,152738370,
African Development Bank,,2003,116594060,
African Development Bank,,2004,190345460,
African Development Bank,,2005,205321090,
African Development Bank,,2006,218591170,
African Development Bank,,2007,196353580,
African Development Bank,,2008,188530740,
African Development Bank,,2009,184465140,
African Development Bank,,2010,139167570,
African Development Bank,,2011,129007130,
African Development Bank,,2012,120721920,
African Development Bank,,2013,149014030,
African Development Bank,,2014,143065500,
African Development Bank,,2015,142531780,
African Development Bank,,2016,186638910,
African Development Bank,,2017,136605100,
African Development Bank,,2018,107708560,
African Development Bank,,2019,14650066,
African Development Bank,,2020,7415864,
African Development Bank,,2021,9150927,
African Development Bank,,2022,5938928,
African Development Bank,,2023,8951578,
African Development Bank,,2024,9001417,
"African Development Bank, Total",,1965,-462570,
"African Development Bank, Total",,1966,-286197800,
"African Development Bank, Total",,1967,-280386880,
"African Development Bank, Total",,1975,15584397,
"African Development Bank, Total",,1976,41498000,
"African Development Bank, Total",,1977,94324760,
"African Development Bank, Total",,1978,123265896,
"African Development Bank, Total",,1979,151057170,
"African Development Bank, Total",,1980,242434240,
"African Development Bank, Total",,1981,235031710,
"African Development Bank, Total",,1982,325283800,
"African Development Bank, Total",,1983,418141000,
"African Development Bank, Total",,1984,300206140,
"African Development Bank, Total",,1985,565934500,
"African Development Bank, Total",,1986,600827650,
"African Development Bank, Total",,1987,712223000,
"African Development Bank, Total",,1988,622248260,
"African Development Bank, Total",,1989,866800600,
"African Development Bank, Total",,1990,967712060,
"African Development Bank, Total",,1991,965823100,
"African Development Bank, Total",,1992,992398400,
"African Development Bank, Total",,1993,1023375300,
